topological coefficient,degree
0.03824048,44
0.03809635,44
0.037493829,44
0.035305299,44
0.03337852,44
0.033202821,44
0.033099851,44
0.032563604,44
0.03077954,44
0.030712986,44
0.029040404,44
0.068360616,43
0.056694258,43
0.055222856,43
0.053318691,43
0.050017462,43
0.049857253,43
0.048337022,43
0.047667405,43
0.045175032,43
0.043481675,43
0.040186499,43
0.039736228,43
0.038368981,43
0.03799428,43
0.037884301,43
0.037679231,43
0.037286393,43
0.037052584,43
0.037016141,43
0.036528244,43
0.036033479,43
0.035806402,43
0.035554699,43
0.035520373,43
0.034934833,43
0.033261222,43
0.032652758,43
0.030520013,43
0.029725243,43
0.029483494,43
0.029483227,43
0.058984624,42
0.049094435,42
0.047843223,42
0.04775231,42
0.046318852,42
0.040584055,42
0.040073566,42
0.038786273,42
0.038262417,42
0.037355671,42
0.03567202,42
0.03552784,42
0.035513579,42
0.035493346,42
0.03504009,42
0.034761717,42
0.032645273,42
0.030423819,42
0.029512493,42
0.026465473,42
0.052549,41
0.04991674,41
0.046480426,41
0.046407029,41
0.042185814,41
0.041305285,41
0.041218593,41
0.040846785,41
0.039513564,41
0.039268972,41
0.039153824,41
0.038643356,41
0.038382781,41
0.037927086,41
0.03762005,41
0.03724046,41
0.036578397,41
0.036182034,41
0.035943517,41
0.035356019,41
0.034619006,41
0.033960952,41
0.033755382,41
0.032645679,41
0.031635974,41
0.061594779,40
0.055160398,40
0.053563778,40
0.052848511,40
0.048752021,40
0.048062428,40
0.046760831,40
0.046573191,40
0.0457567,40
0.044457672,40
0.043930422,40
0.043370958,40
0.041679298,40
0.040957624,40
0.040717158,40
0.039835361,40
0.039669771,40
0.039180328,40
0.039144236,40
0.039113222,40
0.037823508,40
0.037212704,40
0.035707411,40
0.034789157,40
0.034200644,40
0.033963887,40
0.032444282,40
0.032427785,40
0.031150943,40
0.049473119,39
0.048391293,39
0.0478232,39
0.047776066,39
0.047403577,39
0.046709975,39
0.044581715,39
0.043709004,39
0.043164637,39
0.041279368,39
0.041005338,39
0.040328908,39
0.039669268,39
0.038987069,39
0.038932633,39
0.038184417,39
0.038001801,39
0.037730735,39
0.037488867,39
0.037421533,39
0.036699808,39
0.036524356,39
0.036344571,39
0.036237636,39
0.036158631,39
0.034932913,39
0.034866264,39
0.034685017,39
0.034131306,39
0.033576421,39
0.030995106,39
0.062507274,38
0.051555419,38
0.049086566,38
0.046434054,38
0.045938435,38
0.045785768,38
0.045694353,38
0.045414365,38
0.044943149,38
0.044589549,38
0.044509316,38
0.044341669,38
0.043752674,38
0.042598852,38
0.042386871,38
0.042320756,38
0.041612157,38
0.041096457,38
0.040859291,38
0.040756704,38
0.040112417,38
0.038912927,38
0.037862513,38
0.037686974,38
0.037167084,38
0.036085408,38
0.034966698,38
0.033644237,38
0.033098975,38
0.032578675,38
0.065697503,37
0.063459696,37
0.060911576,37
0.059042026,37
0.058978118,37
0.056996772,37
0.056610956,37
0.053556421,37
0.053117024,37
0.051942568,37
0.051582276,37
0.050081632,37
0.048689008,37
0.048686364,37
0.048356632,37
0.047072903,37
0.0465954,37
0.046014853,37
0.044805482,37
0.043996002,37
0.04383924,37
0.043467295,37
0.042820212,37
0.042341975,37
0.04177236,37
0.0410358,37
0.040493125,37
0.040398932,37
0.04028325,37
0.038114657,37
0.037937501,37
0.037882977,37
0.037416074,37
0.03729711,37
0.03713918,37
0.037048046,37
